sourceName,objectType,system,layer,baseName,side,suffix,paren,proposedAnatomyId,polyCount,include
Abduction,MESH,,,Abduction,,,,,46,
Adduction,MESH,,,Adduction,,,,,46,
Anterior axillary line.l,MESH,,,Anterior axillary line,left,l,,,5,
Anterior axillary line.r,MESH,,,Anterior axillary line,right,r,,,5,
Anterior median line,MESH,,,Anterior median line,,,,,45,
BezierCircle',CURVE,,,BezierCircle',,,,,0,
Caudal,MESH,,,Caudal,,,,,15,
Circumduction,MESH,,,Circumduction,,,,,28,
Coronal planes,MESH,,,Coronal planes,,,,,2,
Cranial,MESH,,,Cranial,,,,,15,
Cross Section X,MESH,,,Cross Section X,,,,,0,
Cross Section Y,MESH,,,Cross Section Y,,,,,0,
Cross Section Z,MESH,,,Cross Section Z,,,,,0,
Distal,MESH,,,Distal,,,,,42,
Dorsal,MESH,,,Dorsal,,,,,63,
Dorsiflexion,MESH,,,Dorsiflexion,,,,,15,
Eversion,MESH,,,Eversion,,,,,23,
Fibular,MESH,,,Fibular,,,,,21,
Frontal,MESH,,,Frontal,,,,,15,
General terms.g,MESH,,,General terms.g,,,,,480,
HOW TO ...,MESH,,,HOW TO ...,,,,,357,
Inversion,MESH,,,Inversion,,,,,23,
Lateral rotation,MESH,,,Lateral rotation,,,,,23,
Lymph node,MESH,,,Lymph node,,,,,96,
Mamillary line.l,MESH,,,Mamillary line,left,l,,,48,
Mamillary line.r,MESH,,,Mamillary line,right,r,,,48,
Medial rotation,MESH,,,Medial rotation,,,,,23,
Median plane,MESH,,,Median plane,,,,,1,
Medulla-path,CURVE,,,Medulla-path,,,,,0,
Midclavicular line.l,MESH,,,Midclavicular line,left,l,,,116,
Midclavicular line.r,MESH,,,Midclavicular line,right,r,,,116,
Movements.g,MESH,,,Movements.g,,,,,281,
Occipital,MESH,,,Occipital,,,,,15,
Oesophagus-profile,CURVE,,,Oesophagus-profile,,,,,0,
Palmar,MESH,,,Palmar,,,,,21,
Paramedian plane,MESH,,,Paramedian plane,,,,,1,
Parasternal line.l,MESH,,,Parasternal line,left,l,,,62,
Parasternal line.r,MESH,,,Parasternal line,right,r,,,62,
Paravertebral line.l,MESH,,,Paravertebral line,left,l,,,35,
Paravertebral line.r,MESH,,,Paravertebral line,right,r,,,35,
Plantar,MESH,,,Plantar,,,,,21,
Plantar flexion,MESH,,,Plantar flexion,,,,,13,
Posterior axillary line.l,MESH,,,Posterior axillary line,left,l,,,8,
Posterior axillary line.r,MESH,,,Posterior axillary line,right,r,,,8,
Posterior median line,MESH,,,Posterior median line,,,,,50,
Pronation,MESH,,,Pronation,,,,,23,
Proximal,MESH,,,Proximal,,,,,42,
Radial,MESH,,,Radial,,,,,21,
Reference lines.g,MESH,,,Reference lines.g,,,,,484,
Reference planes.g,MESH,,,Reference planes.g,,,,,549,
Sagittal planes.j,MESH,,,Sagittal planes,,j,,,0,
Scapular line.l,MESH,,,Scapular line,left,l,,,21,
Scapular line.r,MESH,,,Scapular line,right,r,,,21,
Sternal line.l,MESH,,,Sternal line,left,l,,,22,
Sternal line.r,MESH,,,Sternal line,right,r,,,22,
Supination,MESH,,,Supination,,,,,23,
Take a picture,MESH,,,Take a picture,,,,,0,
Tibial,MESH,,,Tibial,,,,,21,
Transverse planes,MESH,,,Transverse planes,,,,,5,
Ulnar,MESH,,,Ulnar,,,,,21,
Ventral,MESH,,,Ventral,,,,,21,
Zonular fibers-curve.r,CURVE,,,Zonular fibers-curve,right,r,,,0,
Acetabular fossa.j,MESH,Skeletal system,bone,Acetabular fossa,,j,,bone.acetabularFossa,0,
Acetabular fossa.i,MESH,Skeletal system,bone,Acetabular fossa.i,,,,bone.acetabularFossaI,0,
Acetabular margin.j,MESH,Skeletal system,bone,Acetabular margin,,j,,bone.acetabularMargin,0,
Acetabular margin.i,MESH,Skeletal system,bone,Acetabular margin.i,,,,bone.acetabularMarginI,0,
Acetabular notch.j,MESH,Skeletal system,bone,Acetabular notch,,j,,bone.acetabularNotch,0,
Acetabular notch.i,MESH,Skeletal system,bone,Acetabular notch.i,,,,bone.acetabularNotchI,0,
Acetabulum.j,MESH,Skeletal system,bone,Acetabulum,,j,,bone.acetabulum,0,
Acetabulum.i,MESH,Skeletal system,bone,Acetabulum.i,,,,bone.acetabulumI,0,
Acromial angle.j,MESH,Skeletal system,bone,Acromial angle,,j,,bone.acromialAngle,0,
Acromial angle.i,MESH,Skeletal system,bone,Acromial angle.i,,,,bone.acromialAngleI,0,
Acromial end.j,MESH,Skeletal system,bone,Acromial end,,j,,bone.acromialEnd,0,
Acromial end.i,MESH,Skeletal system,bone,Acromial end.i,,,,bone.acromialEndI,0,
Acromial facet.j,MESH,Skeletal system,bone,Acromial facet,,j,,bone.acromialFacet,0,
Acromial facet.i,MESH,Skeletal system,bone,Acromial facet.i,,,,bone.acromialFacetI,0,
Acromion.j,MESH,Skeletal system,bone,Acromion,,j,,bone.acromion,0,
Acromion.i,MESH,Skeletal system,bone,Acromion.i,,,,bone.acromionI,0,
Adductor tubercle.j,MESH,Skeletal system,bone,Adductor tubercle,,j,,bone.adductorTubercle,0,
Adductor tubercle.i,MESH,Skeletal system,bone,Adductor tubercle.i,,,,bone.adductorTubercleI,0,
Ala of ilium.j,MESH,Skeletal system,bone,Ala of ilium,,j,,bone.alaOfIlium,0,
Ala of ilium.i,MESH,Skeletal system,bone,Ala of ilium.i,,,,bone.alaOfIliumI,0,
Ala of sacrum.j,MESH,Skeletal system,bone,Ala of sacrum,,j,,bone.alaOfSacrum,0,
Anatomical neck of humerus.j,MESH,Skeletal system,bone,Anatomical neck of humerus,,j,,bone.anatomicalNeckOfHumerus,0,
Anatomical neck of humerus.i,MESH,Skeletal system,bone,Anatomical neck of humerus.i,,,,bone.anatomicalNeckOfHumerusI,0,
Angle of rib.j,MESH,Skeletal system,bone,Angle of rib,,j,,bone.angleOfRib,0,
Angle of rib.i,MESH,Skeletal system,bone,Angle of rib.i,,,,bone.angleOfRibI,0,
Annular epiphysis.j,MESH,Skeletal system,bone,Annular epiphysis,,j,,bone.annularEpiphysis,0,
Anterior arch of atlas.j,MESH,Skeletal system,bone,Anterior arch of atlas,,j,,bone.anteriorArchOfAtlas,0,
Anterior articular facet of dens axis.j,MESH,Skeletal system,bone,Anterior articular facet of dens axis,,j,,bone.anteriorArticularFacetOfDensAxis,0,
Anterior border of fibula.j,MESH,Skeletal system,bone,Anterior border of fibula,,j,,bone.anteriorBorderOfFibula,0,
Anterior border of fibula.i,MESH,Skeletal system,bone,Anterior border of fibula.i,,,,bone.anteriorBorderOfFibulaI,0,
Anterior border of humerus.j,MESH,Skeletal system,bone,Anterior border of humerus,,j,,bone.anteriorBorderOfHumerus,0,
Anterior border of humerus.i,MESH,Skeletal system,bone,Anterior border of humerus.i,,,,bone.anteriorBorderOfHumerusI,0,
Anterior border of radius.j,MESH,Skeletal system,bone,Anterior border of radius,,j,,bone.anteriorBorderOfRadius,0,
Anterior border of radius.i,MESH,Skeletal system,bone,Anterior border of radius.i,,,,bone.anteriorBorderOfRadiusI,0,
Anterior border of tibia.j,MESH,Skeletal system,bone,Anterior border of tibia,,j,,bone.anteriorBorderOfTibia,0,
Anterior border of tibia.i,MESH,Skeletal system,bone,Anterior border of tibia.i,,,,bone.anteriorBorderOfTibiaI,0,
Anterior border of ulna.j,MESH,Skeletal system,bone,Anterior border of ulna,,j,,bone.anteriorBorderOfUlna,0,
Anterior border of ulna.i,MESH,Skeletal system,bone,Anterior border of ulna.i,,,,bone.anteriorBorderOfUlnaI,0,
Anterior cells of ethmoid bone.l,MESH,Skeletal system,bone,Anterior cells of ethmoid bone,left,l,,bone.anteriorCellsOfEthmoid,116,
Anterior cells of ethmoid bone.r,MESH,Skeletal system,bone,Anterior cells of ethmoid bone,right,r,,bone.anteriorCellsOfEthmoid,116,
Anterior clinoid process.j,MESH,Skeletal system,bone,Anterior clinoid process,,j,,bone.anteriorClinoidProcess,0,
Anterior gluteal line.j,MESH,Skeletal system,bone,Anterior gluteal line,,j,,bone.anteriorGlutealLine,0,
Anterior gluteal line.i,MESH,Skeletal system,bone,Anterior gluteal line.i,,,,bone.anteriorGlutealLineI,0,
Anterior inferior iliac spine.j,MESH,Skeletal system,bone,Anterior inferior iliac spine,,j,,bone.anteriorInferiorIliacSpine,0,
Anterior inferior iliac spine.i,MESH,Skeletal system,bone,Anterior inferior iliac spine.i,,,,bone.anteriorInferiorIliacSpineI,0,
Anterior intercondylar area.j,MESH,Skeletal system,bone,Anterior intercondylar area,,j,,bone.anteriorIntercondylarArea,0,
Anterior intercondylar area.i,MESH,Skeletal system,bone,Anterior intercondylar area.i,,,,bone.anteriorIntercondylarAreaI,0,
Anterior limb of stapes.j,MESH,Skeletal system,bone,Anterior limb of stapes,,j,,bone.anteriorLimbOfStapes,0,
Anterior limb of stapes.i,MESH,Skeletal system,bone,Anterior limb of stapes.i,,,,bone.anteriorLimbOfStapesI,0,
Anterior obturator tubercle.j,MESH,Skeletal system,bone,Anterior obturator tubercle,,j,,bone.anteriorObturatorTubercle,0,
Anterior obturator tubercle.i,MESH,Skeletal system,bone,Anterior obturator tubercle.i,,,,bone.anteriorObturatorTubercleI,0,
Anterior process of calcaneus.j,MESH,Skeletal system,bone,Anterior process of calcaneus,,j,,bone.anteriorProcessOfCalcaneus,0,
Anterior process of calcaneus.i,MESH,Skeletal system,bone,Anterior process of calcaneus.i,,,,bone.anteriorProcessOfCalcaneusI,0,
Anterior process of malleus.j,MESH,Skeletal system,bone,Anterior process of malleus,,j,,bone.anteriorProcessOfMalleus,0,
Anterior process of malleus.i,MESH,Skeletal system,bone,Anterior process of malleus.i,,,,bone.anteriorProcessOfMalleusI,0,
Anterior sacral foramina.j,MESH,Skeletal system,bone,Anterior sacral foramina,,j,,bone.anteriorSacralForamina,0,
Anterior superior iliac spine.j,MESH,Skeletal system,bone,Anterior superior iliac spine,,j,,bone.anteriorSuperiorIliacSpine,0,
Anterior superior iliac spine.i,MESH,Skeletal system,bone,Anterior superior iliac spine.i,,,,bone.anteriorSuperiorIliacSpineI,0,
Anterior surface of petrous part.j,MESH,Skeletal system,bone,Anterior surface of petrous part,,j,,bone.anteriorSurfaceOfPetrousPart,0,
Anterior surface of petrous part.i,MESH,Skeletal system,bone,Anterior surface of petrous part.i,,,,bone.anteriorSurfaceOfPetrousPartI,0,
Anterior surface of radius.j,MESH,Skeletal system,bone,Anterior surface of radius,,j,,bone.anteriorSurfaceOfRadius,0,
Anterior surface of radius.i,MESH,Skeletal system,bone,Anterior surface of radius.i,,,,bone.anteriorSurfaceOfRadiusI,0,
Anterior tubercle of atlas.j,MESH,Skeletal system,bone,Anterior tubercle of atlas,,j,,bone.anteriorTubercleOfAtlas,0,
Anterior tubercle of transverse process.j,MESH,Skeletal system,bone,Anterior tubercle of transverse process,,j,,bone.anteriorTubercleOfTransverseProcess,0,
Anterolateral surface of arytenoid cartilage.j,MESH,Skeletal system,bone,Anterolateral surface of arytenoid cartilage,,j,,bone.anterolateralSurfaceOfArytenoidCartilage,0,
Anterolateral surface of arytenoid cartilage.i,MESH,Skeletal system,bone,Anterolateral surface of arytenoid cartilage.i,,,,bone.anterolateralSurfaceOfArytenoidCartilageI,0,
Anterolateral surface of humerus.j,MESH,Skeletal system,bone,Anterolateral surface of humerus,,j,,bone.anterolateralSurfaceOfHumerus,0,
Anterolateral surface of humerus.i,MESH,Skeletal system,bone,Anterolateral surface of humerus.i,,,,bone.anterolateralSurfaceOfHumerusI,0,
Anteromedial surface of fibula.j,MESH,Skeletal system,bone,Anteromedial surface of fibula,,j,,bone.anteromedialSurfaceOfFibula,0,
Anteromedial surface of fibula.i,MESH,Skeletal system,bone,Anteromedial surface of fibula.i,,,,bone.anteromedialSurfaceOfFibulaI,0,
Anteromedial surface of humerus.j,MESH,Skeletal system,bone,Anteromedial surface of humerus,,j,,bone.anteromedialSurfaceOfHumerus,0,
Anteromedial surface of humerus.i,MESH,Skeletal system,bone,Anteromedial surface of humerus.i,,,,bone.anteromedialSurfaceOfHumerusI,0,
Apex of arytenoid cartilage.j,MESH,Skeletal system,bone,Apex of arytenoid cartilage,,j,,bone.apexOfArytenoidCartilage,0,
Apex of arytenoid cartilage.i,MESH,Skeletal system,bone,Apex of arytenoid cartilage.i,,,,bone.apexOfArytenoidCartilageI,0,
Apex of coccyx.j,MESH,Skeletal system,bone,Apex of coccyx,,j,,bone.apexOfCoccyx,0,
Apex of dens axis.j,MESH,Skeletal system,bone,Apex of dens axis,,j,,bone.apexOfDensAxis,0,
Apex of head of fibula.j,MESH,Skeletal system,bone,Apex of head of fibula,,j,,bone.apexOfHeadOfFibula,0,
Apex of head of fibula.i,MESH,Skeletal system,bone,Apex of head of fibula.i,,,,bone.apexOfHeadOfFibulaI,0,
Apex of petrous part.j,MESH,Skeletal system,bone,Apex of petrous part,,j,,bone.apexOfPetrousPart,0,
Apex of petrous part.i,MESH,Skeletal system,bone,Apex of petrous part.i,,,,bone.apexOfPetrousPartI,0,
Apex of sacrum.j,MESH,Skeletal system,bone,Apex of sacrum,,j,,bone.apexOfSacrum,0,
Appendicular skeleton.j,MESH,Skeletal system,bone,Appendicular skeleton,,j,,bone.appendicularSkeleton,0,
Arch of cricoid cartilage.j,MESH,Skeletal system,bone,Arch of cricoid cartilage,,j,,bone.archOfCricoidCartilage,0,
Arcuate crest.j,MESH,Skeletal system,bone,Arcuate crest,,j,,bone.arcuateCrest,0,
Arcuate crest.i,MESH,Skeletal system,bone,Arcuate crest.i,,,,bone.arcuateCrestI,0,
Arcuate eminence.j,MESH,Skeletal system,bone,Arcuate eminence,,j,,bone.arcuateEminence,0,
Arcuate eminence.i,MESH,Skeletal system,bone,Arcuate eminence.i,,,,bone.arcuateEminenceI,0,
Arcuate line of ilium.j,MESH,Skeletal system,bone,Arcuate line of ilium,,j,,bone.arcuateLineOfIlium,0,
Arcuate line of ilium.i,MESH,Skeletal system,bone,Arcuate line of ilium.i,,,,bone.arcuateLineOfIliumI,0,
Articular circumference of head of radius.j,MESH,Skeletal system,bone,Articular circumference of head of radius,,j,,bone.articularCircumferenceOfHeadOfRadius,0,
Articular circumference of head of radius.i,MESH,Skeletal system,bone,Articular circumference of head of radius.i,,,,bone.articularCircumferenceOfHeadOfRadiusI,0,
Articular circumference of head of ulna.j,MESH,Skeletal system,bone,Articular circumference of head of ulna,,j,,bone.articularCircumferenceOfHeadOfUlna,0,
Articular circumference of head of ulna.i,MESH,Skeletal system,bone,Articular circumference of head of ulna.i,,,,bone.articularCircumferenceOfHeadOfUlnaI,0,
Articular facet for malleus.j,MESH,Skeletal system,bone,Articular facet for malleus,,j,,bone.articularFacetForMalleus,0,
Articular facet for malleus.i,MESH,Skeletal system,bone,Articular facet for malleus.i,,,,bone.articularFacetForMalleusI,0,
Articular facet for stapes.j,MESH,Skeletal system,bone,Articular facet for stapes,,j,,bone.articularFacetForStapes,0,
Articular facet for stapes.i,MESH,Skeletal system,bone,Articular facet for stapes.i,,,,bone.articularFacetForStapesI,0,
Articular facet of head of fibula.j,MESH,Skeletal system,bone,Articular facet of head of fibula,,j,,bone.articularFacetOfHeadOfFibula,0,
Articular facet of head of fibula.i,MESH,Skeletal system,bone,Articular facet of head of fibula.i,,,,bone.articularFacetOfHeadOfFibulaI,0,
Articular facet of head of malleus.j,MESH,Skeletal system,bone,Articular facet of head of malleus,,j,,bone.articularFacetOfHeadOfMalleus,0,
Articular facet of head of malleus.i,MESH,Skeletal system,bone,Articular facet of head of malleus.i,,,,bone.articularFacetOfHeadOfMalleusI,0,
Articular facet of head of radius.j,MESH,Skeletal system,bone,Articular facet of head of radius,,j,,bone.articularFacetOfHeadOfRadius,0,
Articular facet of head of radius.i,MESH,Skeletal system,bone,Articular facet of head of radius.i,,,,bone.articularFacetOfHeadOfRadiusI,0,
Articular facet of head of stapes.j,MESH,Skeletal system,bone,Articular facet of head of stapes,,j,,bone.articularFacetOfHeadOfStapes,0,
Articular facet of head of stapes.i,MESH,Skeletal system,bone,Articular facet of head of stapes.i,,,,bone.articularFacetOfHeadOfStapesI,0,
Articular facet of lateral malleolus.j,MESH,Skeletal system,bone,Articular facet of lateral malleolus,,j,,bone.articularFacetOfLateralMalleolus,0,
Articular facet of lateral malleolus.i,MESH,Skeletal system,bone,Articular facet of lateral malleolus.i,,,,bone.articularFacetOfLateralMalleolusI,0,
Articular facet of medial malleolus.j,MESH,Skeletal system,bone,Articular facet of medial malleolus,,j,,bone.articularFacetOfMedialMalleolus,0,
Articular facet of medial malleolus.i,MESH,Skeletal system,bone,Articular facet of medial malleolus.i,,,,bone.articularFacetOfMedialMalleolusI,0,
Articular facet of tubercle of rib.j,MESH,Skeletal system,bone,Articular facet of tubercle of rib,,j,,bone.articularFacetOfTubercleOfRib,0,
Articular facet of tubercle of rib.i,MESH,Skeletal system,bone,Articular facet of tubercle of rib.i,,,,bone.articularFacetOfTubercleOfRibI,0,
Articular facets of head of rib.j,MESH,Skeletal system,bone,Articular facets of head of rib,,j,,bone.articularFacetsOfHeadOfRib,0,
Articular facets of head of rib.i,MESH,Skeletal system,bone,Articular facets of head of rib.i,,,,bone.articularFacetsOfHeadOfRibI,0,
Articular surface for cuboid.j,MESH,Skeletal system,bone,Articular surface for cuboid,,j,,bone.articularSurfaceForCuboid,0,
Articular surface for cuboid.i,MESH,Skeletal system,bone,Articular surface for cuboid.i,,,,bone.articularSurfaceForCuboidI,0,
Articular surface of arytenoid cartilage.j,MESH,Skeletal system,bone,Articular surface of arytenoid cartilage,,j,,bone.articularSurfaceOfArytenoidCartilage,0,
Articular surface of arytenoid cartilage.i,MESH,Skeletal system,bone,Articular surface of arytenoid cartilage.i,,,,bone.articularSurfaceOfArytenoidCartilageI,0,
Articular surface of medial condyle.j,MESH,Skeletal system,bone,Articular surface of medial condyle,,j,,bone.articularSurfaceOfMedialCondyle,0,
Articular surface of medial condyle.i,MESH,Skeletal system,bone,Articular surface of medial condyle.i,,,,bone.articularSurfaceOfMedialCondyleI,0,
Arytenoid articular surface.j,MESH,Skeletal system,bone,Arytenoid articular surface,,j,,bone.arytenoidArticularSurface,0,
Arytenoid cartilage.l,MESH,Skeletal system,bone,Arytenoid cartilage,left,l,,bone.arytenoidCartilage,625,
Arytenoid cartilage.r,MESH,Skeletal system,bone,Arytenoid cartilage,right,r,,bone.arytenoidCartilage,625,
Atlas.j,MESH,Skeletal system,bone,Atlas,,j,,bone.atlas,0,
Atlas (C1),MESH,Skeletal system,bone,Atlas (C1),,,,bone.atlasC1,2146,
Auditory ossicles.j,MESH,Skeletal system,bone,Auditory ossicles,,j,,bone.auditoryOssicles,0,
Auricular surface of ilium.j,MESH,Skeletal system,bone,Auricular surface of ilium,,j,,bone.auricularSurfaceOfIlium,0,
Auricular surface of ilium.i,MESH,Skeletal system,bone,Auricular surface of ilium.i,,,,bone.auricularSurfaceOfIliumI,0,
Auricular surface of sacrum.j,MESH,Skeletal system,bone,Auricular surface of sacrum,,j,,bone.auricularSurfaceOfSacrum,0,
Axial skeleton.j,MESH,Skeletal system,bone,Axial skeleton,,j,,bone.axialSkeleton,0,
Axis (C2),MESH,Skeletal system,bone,Axis (C2),,,,bone.axisC2,2244,
Axis (C2).j,MESH,Skeletal system,bone,Axis (C2),,j,,bone.axisC2,0,
Base of arytenoid cartilage.j,MESH,Skeletal system,bone,Base of arytenoid cartilage,,j,,bone.baseOfArytenoidCartilage,0,
Base of arytenoid cartilage.i,MESH,Skeletal system,bone,Base of arytenoid cartilage.i,,,,bone.baseOfArytenoidCartilageI,0,
Base of coccyx.j,MESH,Skeletal system,bone,Base of coccyx,,j,,bone.baseOfCoccyx,0,
Base of mandible.j,MESH,Skeletal system,bone,Base of mandible,,j,,bone.baseOfMandible,0,
Base of metatarsal bone.j,MESH,Skeletal system,bone,Base of metatarsal bone,,j,,bone.baseOfMetatarsal,0,
Base of metatarsal bone.i,MESH,Skeletal system,bone,Base of metatarsal bone.i,,,,bone.baseOfMetatarsalBoneI,0,
Base of phalanx of foot.j,MESH,Skeletal system,bone,Base of phalanx of foot,,j,,bone.baseOfPhalanxOfFoot,0,
Base of phalanx of foot.i,MESH,Skeletal system,bone,Base of phalanx of foot.i,,,,bone.baseOfPhalanxOfFootI,0,
Base of phalanx of hand.j,MESH,Skeletal system,bone,Base of phalanx of hand,,j,,bone.baseOfPhalanxOfHand,0,
Base of phalanx of hand.i,MESH,Skeletal system,bone,Base of phalanx of hand.i,,,,bone.baseOfPhalanxOfHandI,0,
Base of sacrum.j,MESH,Skeletal system,bone,Base of sacrum,,j,,bone.baseOfSacrum,0,
Base of stapes.j,MESH,Skeletal system,bone,Base of stapes,,j,,bone.baseOfStapes,0,
Base of stapes.i,MESH,Skeletal system,bone,Base of stapes.i,,,,bone.baseOfStapesI,0,
Basilar part of occipital bone.j,MESH,Skeletal system,bone,Basilar part of occipital bone,,j,,bone.basilarPartOfOccipital,0,
Body of clavicle.j,MESH,Skeletal system,bone,Body of clavicle,,j,,bone.bodyOfClavicle,0,
Body of clavicle.i,MESH,Skeletal system,bone,Body of clavicle.i,,,,bone.bodyOfClavicleI,0,
Body of femur.j,MESH,Skeletal system,bone,Body of femur,,j,,bone.bodyOfFemur,0,
Body of femur.i,MESH,Skeletal system,bone,Body of femur.i,,,,bone.bodyOfFemurI,0,
Body of fibula.j,MESH,Skeletal system,bone,Body of fibula,,j,,bone.bodyOfFibula,0,
Body of fibula.i,MESH,Skeletal system,bone,Body of fibula.i,,,,bone.bodyOfFibulaI,0,
Body of humerus.j,MESH,Skeletal system,bone,Body of humerus,,j,,bone.bodyOfHumerus,0,
Body of humerus.i,MESH,Skeletal system,bone,Body of humerus.i,,,,bone.bodyOfHumerusI,0,
Body of hyoid bone.j,MESH,Skeletal system,bone,Body of hyoid bone,,j,,bone.bodyOfHyoid,0,
Body of ilium.j,MESH,Skeletal system,bone,Body of ilium,,j,,bone.bodyOfIlium,0,
Body of ilium.i,MESH,Skeletal system,bone,Body of ilium.i,,,,bone.bodyOfIliumI,0,
Body of incus.j,MESH,Skeletal system,bone,Body of incus,,j,,bone.bodyOfIncus,0,
Body of incus.i,MESH,Skeletal system,bone,Body of incus.i,,,,bone.bodyOfIncusI,0,
Body of ischium.j,MESH,Skeletal system,bone,Body of ischium,,j,,bone.bodyOfIschium,0,
Body of ischium.i,MESH,Skeletal system,bone,Body of ischium.i,,,,bone.bodyOfIschiumI,0,
Body of mandible.j,MESH,Skeletal system,bone,Body of mandible,,j,,bone.bodyOfMandible,0,
Body of metacarpal bone.j,MESH,Skeletal system,bone,Body of metacarpal bone,,j,,bone.bodyOfMetacarpal,0,
Body of metacarpal bone.i,MESH,Skeletal system,bone,Body of metacarpal bone.i,,,,bone.bodyOfMetacarpalBoneI,0,
Body of metatarsal bone.j,MESH,Skeletal system,bone,Body of metatarsal bone,,j,,bone.bodyOfMetatarsal,0,
Body of metatarsal bone.i,MESH,Skeletal system,bone,Body of metatarsal bone.i,,,,bone.bodyOfMetatarsalBoneI,0,
Body of phalanx of foot.j,MESH,Skeletal system,bone,Body of phalanx of foot,,j,,bone.bodyOfPhalanxOfFoot,0,
Body of phalanx of foot.i,MESH,Skeletal system,bone,Body of phalanx of foot.i,,,,bone.bodyOfPhalanxOfFootI,0,
Body of phalanx of hand.j,MESH,Skeletal system,bone,Body of phalanx of hand,,j,,bone.bodyOfPhalanxOfHand,0,
Body of phalanx of hand.i,MESH,Skeletal system,bone,Body of phalanx of hand.i,,,,bone.bodyOfPhalanxOfHandI,0,
Body of pubis.j,MESH,Skeletal system,bone,Body of pubis,,j,,bone.bodyOfPubis,0,
Body of pubis.i,MESH,Skeletal system,bone,Body of pubis.i,,,,bone.bodyOfPubisI,0,
Body of radius.j,MESH,Skeletal system,bone,Body of radius,,j,,bone.bodyOfRadius,0,
Body of radius.i,MESH,Skeletal system,bone,Body of radius.i,,,,bone.bodyOfRadiusI,0,
Body of rib.j,MESH,Skeletal system,bone,Body of rib,,j,,bone.bodyOfRib,0,
Body of rib.i,MESH,Skeletal system,bone,Body of rib.i,,,,bone.bodyOfRibI,0,
Body of sphenoid bone.j,MESH,Skeletal system,bone,Body of sphenoid bone,,j,,bone.bodyOfSphenoid,0,
Body of sternum,MESH,Skeletal system,bone,Body of sternum,,,,bone.bodyOfSternum,4466,
Body of talus.j,MESH,Skeletal system,bone,Body of talus,,j,,bone.bodyOfTalus,0,
Body of talus.i,MESH,Skeletal system,bone,Body of talus.i,,,,bone.bodyOfTalusI,0,
Body of tibia.j,MESH,Skeletal system,bone,Body of tibia,,j,,bone.bodyOfTibia,0,
Body of tibia.i,MESH,Skeletal system,bone,Body of tibia.i,,,,bone.bodyOfTibiaI,0,
Body of ulna.j,MESH,Skeletal system,bone,Body of ulna,,j,,bone.bodyOfUlna,0,
Body of ulna.i,MESH,Skeletal system,bone,Body of ulna.i,,,,bone.bodyOfUlnaI,0,
Bones of cranium.j,MESH,Skeletal system,bone,Bones of cranium,,j,,bone.bonesOfCranium,0,
Bones of foot.j,MESH,Skeletal system,bone,Bones of foot,,j,,bone.bonesOfFoot,0,
Bones of free part of lower limb.j,MESH,Skeletal system,bone,Bones of free part of lower limb,,j,,bone.bonesOfFreePartOfLowerLimb,0,
Bones of free part of upper limb.j,MESH,Skeletal system,bone,Bones of free part of upper limb,,j,,bone.bonesOfFreePartOfUpperLimb,0,
Bones of hand.j,MESH,Skeletal system,bone,Bones of hand,,j,,bone.bonesOfHand,0,
Bones of lower limb.j,MESH,Skeletal system,bone,Bones of lower limb,,j,,bone.bonesOfLowerLimb,0,
Bones of pectoral girdle.j,MESH,Skeletal system,bone,Bones of pectoral girdle,,j,,bone.bonesOfPectoralGirdle,0,
Bones of pelvic girdle.j,MESH,Skeletal system,bone,Bones of pelvic girdle,,j,,bone.bonesOfPelvicGirdle,0,
Bones of thorax.j,MESH,Skeletal system,bone,Bones of thorax,,j,,bone.bonesOfThorax,0,
Bones of upper limb.j,MESH,Skeletal system,bone,Bones of upper limb,,j,,bone.bonesOfUpperLimb,0,
Bones of vertebral column.j,MESH,Skeletal system,bone,Bones of vertebral column,,j,,bone.bonesOfVertebralColumn,0,
Bony pelvis.j,MESH,Skeletal system,bone,Bony pelvis,,j,,bone.bonyPelvis,0,
Calcaneal sulcus.j,MESH,Skeletal system,bone,Calcaneal sulcus,,j,,bone.calcanealSulcus,0,
Calcaneal sulcus.i,MESH,Skeletal system,bone,Calcaneal sulcus.i,,,,bone.calcanealSulcusI,0,
Calcaneal tubercle.j,MESH,Skeletal system,bone,Calcaneal tubercle,,j,,bone.calcanealTubercle,0,
Calcaneal tubercle.i,MESH,Skeletal system,bone,Calcaneal tubercle.i,,,,bone.calcanealTubercleI,0,
Calcaneal tuberosity.j,MESH,Skeletal system,bone,Calcaneal tuberosity,,j,,bone.calcanealTuberosity,0,
Calcaneal tuberosity.i,MESH,Skeletal system,bone,Calcaneal tuberosity.i,,,,bone.calcanealTuberosityI,0,
Calcaneus.l,MESH,Skeletal system,bone,Calcaneus,left,l,,bone.calcaneus,1432,
Calcaneus.r,MESH,Skeletal system,bone,Calcaneus,right,r,,bone.calcaneus,1432,
(Canal for vertebral artery).j,MESH,Skeletal system,bone,Canal for vertebral artery,,j,1,bone.canalForVertebralArtery,0,
Capitate bone.l,MESH,Skeletal system,bone,Capitate bone,left,l,,bone.capitate,470,
Capitate bone.r,MESH,Skeletal system,bone,Capitate bone,right,r,,bone.capitate,470,
Capitulum of humerus.j,MESH,Skeletal system,bone,Capitulum of humerus,,j,,bone.capitulumOfHumerus,0,
Capitulum of humerus.i,MESH,Skeletal system,bone,Capitulum of humerus.i,,,,bone.capitulumOfHumerusI,0,
