sourceName,objectType,system,layer,baseName,side,suffix,paren,proposedAnatomyId,polyCount,include
Middle glenohumeral ligament.l,MESH,Joints,joint,Middle glenohumeral ligament,left,l,,joint.middleGlenohumeralLigament,13,
Middle glenohumeral ligament.r,MESH,Joints,joint,Middle glenohumeral ligament,right,r,,joint.middleGlenohumeralLigament,13,
Nuchal ligament,MESH,Joints,joint,Nuchal ligament,,,,joint.nuchalLigament,33,
Nucleus pulposus C2-C3,MESH,Joints,joint,Nucleus pulposus C2-C3,,,,joint.nucleusPulposusC2C3,512,
Nucleus pulposus C3-C4,MESH,Joints,joint,Nucleus pulposus C3-C4,,,,joint.nucleusPulposusC3C4,512,
Nucleus pulposus C4-C5,MESH,Joints,joint,Nucleus pulposus C4-C5,,,,joint.nucleusPulposusC4C5,512,
Nucleus pulposus C5-C6,MESH,Joints,joint,Nucleus pulposus C5-C6,,,,joint.nucleusPulposusC5C6,512,
Nucleus pulposus C6-C7,MESH,Joints,joint,Nucleus pulposus C6-C7,,,,joint.nucleusPulposusC6C7,512,
Nucleus pulposus C7-T1,MESH,Joints,joint,Nucleus pulposus C7-T1,,,,joint.nucleusPulposusC7T1,512,
Nucleus pulposus L1-L2,MESH,Joints,joint,Nucleus pulposus L1-L2,,,,joint.nucleusPulposusL1L2,512,
Nucleus pulposus L2-L3,MESH,Joints,joint,Nucleus pulposus L2-L3,,,,joint.nucleusPulposusL2L3,512,
Nucleus pulposus L3-L4,MESH,Joints,joint,Nucleus pulposus L3-L4,,,,joint.nucleusPulposusL3L4,512,
Nucleus pulposus L4-L5,MESH,Joints,joint,Nucleus pulposus L4-L5,,,,joint.nucleusPulposusL4L5,512,
Nucleus pulposus L5-S1,MESH,Joints,joint,Nucleus pulposus L5-S1,,,,joint.nucleusPulposusL5S1,512,
Nucleus pulposus T10-T11,MESH,Joints,joint,Nucleus pulposus T10-T11,,,,joint.nucleusPulposusT10T11,512,
Nucleus pulposus T11-T12,MESH,Joints,joint,Nucleus pulposus T11-T12,,,,joint.nucleusPulposusT11T12,512,
Nucleus pulposus T12-L1,MESH,Joints,joint,Nucleus pulposus T12-L1,,,,joint.nucleusPulposusT12L1,512,
Nucleus pulposus T1-T2,MESH,Joints,joint,Nucleus pulposus T1-T2,,,,joint.nucleusPulposusT1T2,512,
Nucleus pulposus T2-T3,MESH,Joints,joint,Nucleus pulposus T2-T3,,,,joint.nucleusPulposusT2T3,512,
Nucleus pulposus T3-T4,MESH,Joints,joint,Nucleus pulposus T3-T4,,,,joint.nucleusPulposusT3T4,512,
Nucleus pulposus T4-T5,MESH,Joints,joint,Nucleus pulposus T4-T5,,,,joint.nucleusPulposusT4T5,512,
Nucleus pulposus T5-T6,MESH,Joints,joint,Nucleus pulposus T5-T6,,,,joint.nucleusPulposusT5T6,512,
Nucleus pulposus T6-T7,MESH,Joints,joint,Nucleus pulposus T6-T7,,,,joint.nucleusPulposusT6T7,512,
Nucleus pulposus T7-T8,MESH,Joints,joint,Nucleus pulposus T7-T8,,,,joint.nucleusPulposusT7T8,512,
Nucleus pulposus T8-T9,MESH,Joints,joint,Nucleus pulposus T8-T9,,,,joint.nucleusPulposusT8T9,512,
Nucleus pulposus T9-T10,MESH,Joints,joint,Nucleus pulposus T9-T10,,,,joint.nucleusPulposusT9T10,512,
Oblique cord.l,MESH,Joints,joint,Oblique cord,left,l,,joint.obliqueCord,1,
Oblique cord.r,MESH,Joints,joint,Oblique cord,right,r,,joint.obliqueCord,1,
Oblique popliteal ligament.l,MESH,Joints,joint,Oblique popliteal ligament,left,l,,joint.obliquePoplitealLigament,18,
Oblique popliteal ligament.r,MESH,Joints,joint,Oblique popliteal ligament,right,r,,joint.obliquePoplitealLigament,18,
Obturator membrane.l,MESH,Joints,joint,Obturator membrane,left,l,,joint.obturatorMembrane,65,
Obturator membrane.r,MESH,Joints,joint,Obturator membrane,right,r,,joint.obturatorMembrane,65,
Palmar capitohamate ligament.l,MESH,Joints,joint,Palmar capitohamate ligament,left,l,,joint.palmarCapitohamateLigament,1,
Palmar capitohamate ligament.r,MESH,Joints,joint,Palmar capitohamate ligament,right,r,,joint.palmarCapitohamateLigament,1,
Palmar carpometacarpal ligaments.l,MESH,Joints,joint,Palmar carpometacarpal ligaments,left,l,,joint.palmarCarpometacarpalLigaments,15,
Palmar carpometacarpal ligaments.r,MESH,Joints,joint,Palmar carpometacarpal ligaments,right,r,,joint.palmarCarpometacarpalLigaments,15,
Palmar interphalangeal ligaments.l,MESH,Joints,joint,Palmar interphalangeal ligaments,left,l,,joint.palmarInterphalangealLigaments,36,
Palmar interphalangeal ligaments.r,MESH,Joints,joint,Palmar interphalangeal ligaments,right,r,,joint.palmarInterphalangealLigaments,36,
Palmar lunotriquetral ligament.l,MESH,Joints,joint,Palmar lunotriquetral ligament,left,l,,joint.palmarLunotriquetralLigament,1,
Palmar lunotriquetral ligament.r,MESH,Joints,joint,Palmar lunotriquetral ligament,right,r,,joint.palmarLunotriquetralLigament,1,
Palmar metacarpal ligaments.l,MESH,Joints,joint,Palmar metacarpal ligaments,left,l,,joint.palmarMetacarpalLigaments,4,
Palmar metacarpal ligaments.r,MESH,Joints,joint,Palmar metacarpal ligaments,right,r,,joint.palmarMetacarpalLigaments,4,
Palmar radio-ulnar ligament.l,MESH,Joints,joint,Palmar radio-ulnar ligament,left,l,,joint.palmarRadioUlnarLigament,3,
Palmar radio-ulnar ligament.r,MESH,Joints,joint,Palmar radio-ulnar ligament,right,r,,joint.palmarRadioUlnarLigament,3,
Palmar scaphotriquetral ligament.l,MESH,Joints,joint,Palmar scaphotriquetral ligament,left,l,,joint.palmarScaphotriquetralLigament,3,
Palmar scaphotriquetral ligament.r,MESH,Joints,joint,Palmar scaphotriquetral ligament,right,r,,joint.palmarScaphotriquetralLigament,3,
Palmar trapezoideocapitate ligament.l,MESH,Joints,joint,Palmar trapezoideocapitate ligament,left,l,,joint.palmarTrapezoideocapitateLigament,1,
Palmar trapezoideocapitate ligament.r,MESH,Joints,joint,Palmar trapezoideocapitate ligament,right,r,,joint.palmarTrapezoideocapitateLigament,1,
Pisohamate ligament.l,MESH,Joints,joint,Pisohamate ligament,left,l,,joint.pisohamateLigament,1,
Pisohamate ligament.r,MESH,Joints,joint,Pisohamate ligament,right,r,,joint.pisohamateLigament,1,
Pisometacarpal ligament.l,MESH,Joints,joint,Pisometacarpal ligament,left,l,,joint.pisometacarpalLigament,1,
Pisometacarpal ligament.r,MESH,Joints,joint,Pisometacarpal ligament,right,r,,joint.pisometacarpalLigament,1,
Pisotriquetral ligament.l,MESH,Joints,joint,Pisotriquetral ligament,left,l,,joint.pisotriquetralLigament,10,
Pisotriquetral ligament.r,MESH,Joints,joint,Pisotriquetral ligament,right,r,,joint.pisotriquetralLigament,10,
Plane suture.j,MESH,Joints,joint,Plane suture,,j,,joint.planeSuture,0,
Plantar calcaneocuboid ligament.l,MESH,Joints,joint,Plantar calcaneocuboid ligament,left,l,,joint.plantarCalcaneocuboidLigament,6,
Plantar calcaneocuboid ligament.r,MESH,Joints,joint,Plantar calcaneocuboid ligament,right,r,,joint.plantarCalcaneocuboidLigament,6,
Plantar calcaneonavicular ligament.l,MESH,Joints,joint,Plantar calcaneonavicular ligament,left,l,,joint.plantarCalcaneonavicularLigament,1,
Plantar calcaneonavicular ligament.r,MESH,Joints,joint,Plantar calcaneonavicular ligament,right,r,,joint.plantarCalcaneonavicularLigament,1,
Plantar cuboideonavicular ligament.l,MESH,Joints,joint,Plantar cuboideonavicular ligament,left,l,,joint.plantarCuboideonavicularLigament,1,
Plantar cuboideonavicular ligament.r,MESH,Joints,joint,Plantar cuboideonavicular ligament,right,r,,joint.plantarCuboideonavicularLigament,1,
Plantar cuneocuboid ligament.l,MESH,Joints,joint,Plantar cuneocuboid ligament,left,l,,joint.plantarCuneocuboidLigament,4,
Plantar cuneocuboid ligament.r,MESH,Joints,joint,Plantar cuneocuboid ligament,right,r,,joint.plantarCuneocuboidLigament,4,
Plantar cuneonavicular ligaments.l,MESH,Joints,joint,Plantar cuneonavicular ligaments,left,l,,joint.plantarCuneonavicularLigaments,5,
Plantar cuneonavicular ligaments.r,MESH,Joints,joint,Plantar cuneonavicular ligaments,right,r,,joint.plantarCuneonavicularLigaments,5,
Plantar intercuneiform ligaments.l,MESH,Joints,joint,Plantar intercuneiform ligaments,left,l,,joint.plantarIntercuneiformLigaments,2,
Plantar intercuneiform ligaments.r,MESH,Joints,joint,Plantar intercuneiform ligaments,right,r,,joint.plantarIntercuneiformLigaments,2,
Plantar interphalangeal ligaments.l,MESH,Joints,joint,Plantar interphalangeal ligaments,left,l,,joint.plantarInterphalangealLigaments,74,
Plantar interphalangeal ligaments.r,MESH,Joints,joint,Plantar interphalangeal ligaments,right,r,,joint.plantarInterphalangealLigaments,74,
Plantar metatarsal ligaments.l,MESH,Joints,joint,Plantar metatarsal ligaments,left,l,,joint.plantarMetatarsalLigaments,4,
Plantar metatarsal ligaments.r,MESH,Joints,joint,Plantar metatarsal ligaments,right,r,,joint.plantarMetatarsalLigaments,4,
Plantar metatarsophalangeal ligaments.l,MESH,Joints,joint,Plantar metatarsophalangeal ligaments,left,l,,joint.plantarMetatarsophalangealLigaments,40,
Plantar metatarsophalangeal ligaments.r,MESH,Joints,joint,Plantar metatarsophalangeal ligaments,right,r,,joint.plantarMetatarsophalangealLigaments,40,
Plantar tarsometatarsal ligaments.l,MESH,Joints,joint,Plantar tarsometatarsal ligaments,left,l,,joint.plantarTarsometatarsalLigaments,10,
Plantar tarsometatarsal ligaments.r,MESH,Joints,joint,Plantar tarsometatarsal ligaments,right,r,,joint.plantarTarsometatarsalLigaments,10,
Popliteofibular ligament.l,MESH,Joints,joint,Popliteofibular ligament,left,l,,joint.popliteofibularLigament,11,
Popliteofibular ligament.r,MESH,Joints,joint,Popliteofibular ligament,right,r,,joint.popliteofibularLigament,11,
Posterior cruciate ligament.l,MESH,Joints,joint,Posterior cruciate ligament,left,l,,joint.posteriorCruciateLigament,404,
Posterior cruciate ligament.r,MESH,Joints,joint,Posterior cruciate ligament,right,r,,joint.posteriorCruciateLigament,404,
Posterior ligament of fibular head.l,MESH,Joints,joint,Posterior ligament of fibular head,left,l,,joint.posteriorLigamentOfFibularHead,8,
Posterior ligament of fibular head.r,MESH,Joints,joint,Posterior ligament of fibular head,right,r,,joint.posteriorLigamentOfFibularHead,8,
Posterior longitudinal ligament,MESH,Joints,joint,Posterior longitudinal ligament,,,,joint.posteriorLongitudinalLigament,432,
Posterior meniscotibial ligament (Lateral meniscus).l,MESH,Joints,joint,Posterior meniscotibial ligament (Lateral meniscus),left,l,,joint.posteriorMeniscotibialLigamentLateralMeniscus,9,
Posterior meniscotibial ligament (Lateral meniscus).r,MESH,Joints,joint,Posterior meniscotibial ligament (Lateral meniscus),right,r,,joint.posteriorMeniscotibialLigamentLateralMeniscus,9,
Posterior meniscotibial ligament (Medial meniscus).l,MESH,Joints,joint,Posterior meniscotibial ligament (Medial meniscus),left,l,,joint.posteriorMeniscotibialLigamentMedialMeniscus,15,
Posterior meniscotibial ligament (Medial meniscus).r,MESH,Joints,joint,Posterior meniscotibial ligament (Medial meniscus),right,r,,joint.posteriorMeniscotibialLigamentMedialMeniscus,15,
Posterior sacro-iliac ligament.l,MESH,Joints,joint,Posterior sacro-iliac ligament,left,l,,joint.posteriorSacroIliacLigament,77,
Posterior sacro-iliac ligament.r,MESH,Joints,joint,Posterior sacro-iliac ligament,right,r,,joint.posteriorSacroIliacLigament,77,
Posterior sternoclavicular ligament.l,MESH,Joints,joint,Posterior sternoclavicular ligament,left,l,,joint.posteriorSternoclavicularLigament,6,
Posterior sternoclavicular ligament.r,MESH,Joints,joint,Posterior sternoclavicular ligament,right,r,,joint.posteriorSternoclavicularLigament,6,
Posterior talocalcaneal ligament.l,MESH,Joints,joint,Posterior talocalcaneal ligament,left,l,,joint.posteriorTalocalcanealLigament,3,
